Year,Month,Date (mm/dd/yyyy), Amount ,Category (Select),Subcategory (Select),Store,Credit Card,Comments,,,
2020,February,2/15/20, $9.74 ,Fixed,Groceries,Save on Foods,1095,,,,
2020,February,2/15/20, $78.77 ,Fixed,Groceries,Save on Foods,1095,Credit Card Cut,,,
2020,February,2/22/20, $56.09 ,Fixed,Groceries,Save on Foods,1095,,,,
2020,February,2/25/20, $7.99 ,Fixed,Groceries,Save on Foods,1095,,,,
2020,February,2/25/20, $16.99 ,Fixed,Medicine,University Pharmacy,1095,,,,
2020,February,2/27/20, $32.86 ,Fixed,Groceries,Save on Foods,1095,,,,
2020,March,3/03/20, $64.20 ,Fixed,Groceries,Save on Foods,1095,,,,
2020,March,3/06/20, $12.29 ,Mindful Spending,Home,Dollar N Plus,1095,,,,
2020,March,3/07/20, $42.14 ,Fixed,Groceries,Save on Foods,1095,,,,
2020,March,3/11/20, $48.40 ,Fixed,Groceries,Save on Foods,1095,,,,
2020,March,3/13/20, $18.42 ,Fixed,Medicine,University Pharmacy,1095,,,,
2020,March,3/13/20, $11.19 ,Mindful Spending,Home,Dollar N Plus,1095,,,,
2020,March,3/13/20, $13.63 ,Mindful Spending,Restaurant,Donair Town,1095,,,,
2020,March,3/14/20, $135.02 ,Fixed,Groceries,Save on Foods,1095,,,,
2020,March,3/15/20, $59.54 ,Fixed,Groceries,Save on Foods,1095,Credit Card Cut,,,
2020,March,3/21/20, $81.29 ,Fixed,Groceries,Save on Foods,1095,,,,
2020,March,3/25/20, $27.54 ,Fixed,Groceries,Save on Foods,1095,,,,
2020,March,3/28/20, $66.02 ,Fixed,Groceries,Save on Foods,1095,,,,
2020,April,4/03/20, $76.44 ,Fixed,Groceries,Save on Foods,1095,,,,
2020,April,4/15/20, $26.63 ,Fixed,Groceries,Save on Foods,1095,,,,
2020,April,4/19/20, $21.71 ,Fixed,Groceries,Save on Foods,1095,,,,
2020,April,4/19/20, $55.51 ,Fixed,Groceries,Save on Foods,1095,Credit Card Cut,,,
2020,April,4/20/20, $15.29 ,Fixed,Groceries,Save on Foods,1095,,,,
2020,April,4/26/20, $42.66 ,Fixed,Groceries,Save on Foods,1095,,,,
2020,May,5/01/20, $82.72 ,Fixed,Groceries,Save on Foods,1095,,,,
2020,May,5/09/20, $75.77 ,Fixed,Groceries,Save on Foods,1095,,,,
2020,May,5/09/20, $21.74 ,Fixed,Groceries,Save on Foods,1095,,,,
2020,May,5/09/20, $14.97 ,Fixed,Groceries,Sungiven Foods,1095,,,,
2020,May,5/14/20, $61.60 ,Fixed,Groceries,Persia Foods,1095,,,,
2020,May,5/17/20, $14.93 ,Fixed,Groceries,FIDO Mobile,1095,,,,
2020,May,5/17/20, $37.30 ,Fixed,Groceries,Sungiven Foods,1095,,,,
2020,May,5/19/20, $7.34 ,Mindful Spending,Restaurant,A&W Marine Gateway,8501,,,,
2020,May,5/19/20, $85.80 ,Fixed,Groceries,Save on Foods,1095,,,,
2020,May,5/21/20, $29.08 ,Fixed,Groceries,Save on Foods,1095,,,,
2020,May,5/23/20, $14.47 ,Mindful Spending,Restaurant,Nori Bento & Udon,8501,,,,
2020,May,5/24/20, $111.94 ,Fixed,Groceries,Loblaws City Market,8501,,,,
2020,May,5/24/20, $26.68 ,Fixed,Groceries,Save on Foods,1095,,,,
2020,May,5/25/20, $25.72 ,Mindful Spending,Home,Dollar N Plus,8501,,,,
2020,May,5/26/20, $20.90 ,Mindful Spending,Restaurant,Sun Sushi Restaurant,8501,,,,
2020,May,5/27/20, $8.93 ,Mindful Spending,Restaurant,Petra Café,8501,,,,
2020,May,5/30/20, $43.94 ,Fixed,Groceries,Save on Foods,1095,,,,
2020,May,5/30/20, $40.79 ,Fixed,Groceries,Sungiven Foods,1095,,,,
2020,May,5/31/20, $6.30 ,Mindful Spending,Restaurant,Kung Fu Tea,8501,,,,
2020,May,5/31/20, $15.56 ,Mindful Spending,Restaurant,Donair Dude,8501,,,,
2020,June,6/01/20, $21.27 ,Mindful Spending,Other,Shoppers Drug Mart,8501,,,,
